Student_ID,First_Name,Last_Name,Email,Gender,Age,Department,Attendance (%),Midterm_Score,Final_Score,Assignments_Avg,Quizzes_Avg,Participation_Score,Projects_Score,Total_Score,Grade,Study_Hours_per_Week,Extracurricular_Activities,Internet_Access_at_Home,Parent_Education_Level,Family_Income_Level,Stress_Level (1-10),Sleep_Hours_per_Night,Total_Score_Original,Week_of_Semester,Learning_Efficiency (%)
S1010,John,Smith,student10@university.com,Female,23,Business,41.91,70.0,71.3,67.58,63.529999999999994,44.900000000000006,93.14,23.682666666666663,C,7.9,Yes,Yes,High School,Low,4,8.2,46.20399999999999,18,73.548051188811
S1011,Omar,Williams,student11@university.com,Female,20,Mathematics,59.3,93.34,71.42000000000002,64.57,63.70000000000002,82.8,66.17,20.786888888888893,C,22.9,Yes,No,,Low,7,8.6,43.540333333333336,8,77.56511849905996
S1012,John,Davis,student12@university.com,Male,21,Engineering,95.48,67.24,78.83,83.43,48.89999999999999,21.3,54.02,52.509,C,26.2,No,No,,Medium,9,6.8,61.709,17,57.98285957407559
S1013,John,Williams,student13@university.com,Male,18,Business,91.39,56.63,72.77,91.41,35.97999999999999,41.4,51.36,51.75049999999999,D,23.0,No,No,PhD,Medium,5,7.9,59.23049999999999,8,62.089686962562446
S1014,Liam,Williams,student14@university.com,Male,19,CS,10.92,94.98,42.3,59.6,28.919999999999998,52.8,55.5,41.540000000000006,D,27.8,No,Yes,Bachelor's,High,2,6.3,52.620000000000005,7,85.68235254183519
S1015,Ahmed,Jones,student15@university.com,Male,18,CS,93.56,63.28,68.41000000000001,78.15,73.54,50.5,50.21,49.68700000000001,C,27.3,Yes,No,Bachelor's,Low,2,6.5,60.12700000000001,7,75.43746112802982
S1016,Maria,Jones,student16@university.com,Female,21,Business,10.92,70.2,54.599999999999994,68.39,39.21,92.1,66.35,52.52149999999999,D,24.5,No,Yes,High School,High,8,6.7,60.48149999999999,3,82.03978454875325
S1017,Liam,Davis,student17@university.com,Female,23,CS,54.04,59.73,35.69999999999999,75.29,79.02999999999999,29.3,64.97,44.413,D,27.5,No,No,Bachelor's,Medium,8,7.4,54.893,1,81.77512808967464
S1018,Liam,Jones,student18@university.com,Male,20,Business,4.07,79.77,48.18,81.04,48.22,5.699999999999999,55.52,51.4295,D,9.2,Yes,Yes,High School,High,8,7.3,56.4295,4,86.3748869101041
S1019,John,Johnson,student19@university.com,Male,20,CS,60.63,99.7,37.99,94.68,68.29,91.6,82.56,64.7955,B,23.3,No,Yes,Master's,Low,5,7.9,72.5155,5,80.98874567769035
S1020,Emma,Davis,student20@university.com,Male,18,Business,54.75,41.53,34.38000000000001,59.61,83.13000000000001,21.7,99.6,53.73599999999999,D,23.8,No,No,PhD,High,2,7.1,60.89599999999999,1,75.85445409682977
S1021,Ahmed,Jones,student21@university.com,Male,22,Business,65.94,93.99,37.79,54.35,54.83,37.9,95.05,21.039777777777783,C,8.8,No,No,,High,10,8.4,41.51966666666667,15,71.97622506044516
S1022,Sara,Davis,student22@university.com,Male,22,Business,42.08,40.24,22.270000000000003,81.36,65.19999999999999,53.1,62.64,37.786500000000004,F,27.7,No,Yes,PhD,Low,8,7.5,48.5465,5,78.25598422563513
S1023,Liam,Williams,student23@university.com,Female,23,CS,49.57,61.85,73.78999999999999,69.71,48.02000000000001,97.6,88.5,20.0,B,5.2,Yes,Yes,Bachelor's,Low,4,8.6,44.40366666666667,13,70.20912285558494
S1024,Maria,Williams,student24@university.com,Female,20,Business,1.44,50.12,92.49999999999999,58.15,61.89,53.5,96.84,75.09749999999998,C,15.9,No,Yes,,Low,9,7.8,76.77749999999999,8,76.85757146844622
S1025,Emma,Davis,student25@university.com,Male,18,Mathematics,60.65,85.44,58.33,55.85,43.21000000000001,44.8,95.32,59.961,C,5.5,No,No,PhD,Medium,10,7.7,68.401,8,78.53684689834897
S1026,Emma,Johnson,student26@university.com,Male,18,Business,53.94,43.04,82.35,77.95,82.96999999999998,58.4,94.23,29.288888888888888,B,18.1,No,No,PhD,High,6,8.3,49.99333333333334,5,76.55042010985538
S1027,Sara,Johnson,student27@university.com,Male,18,Engineering,67.89,73.21,49.809999999999995,65.02,61.669999999999995,97.1,89.32,70.225,C,15.3,No,Yes,High School,High,10,7.3,70.82499999999999,9,80.20886828682455
S1028,Liam,Davis,student28@university.com,Female,21,Engineering,62.44,57.7,80.1,99.87,50.16,81.8,64.65,20.0,C,20.6,Yes,No,Master's,Low,7,4.9,31.530749999999998,1,78.81947994540396
S1029,Maria,Jones,student29@university.com,Female,23,Mathematics,58.27,48.02,49.42,70.3,78.99,16.9,54.18,20.0,D,24.2,Yes,Yes,PhD,Low,3,4.4,20.738499999999995,4,78.36156729335609
S1030,Ahmed,Brown,student30@university.com,Female,22,Business,14.86,86.31,25.950000000000003,60.61,48.290000000000006,80.3,74.39,47.9345,D,24.2,Yes,Yes,,Medium,2,5.6,56.9745,3,67.87924691481348
S1031,Ali,Johnson,student31@university.com,Male,22,Engineering,78.74,53.05,32.879999999999995,81.44,55.540000000000006,84.1,52.74,20.0,F,23.1,Yes,No,Master's,Low,2,8.1,31.822999999999997,2,73.52647409657226
S1032,Maria,Smith,student32@university.com,Female,21,Business,66.41,53.42,39.58,62.21,80.53999999999999,69.1,99.92,20.0,C,7.5,Yes,No,Master's,Medium,3,4.1,28.20025,8,83.21328365927438
S1033,Sara,Williams,student33@university.com,Male,19,Engineering,91.02,56.5,36.69,74.7,62.550000000000004,65.7,67.92,20.0,D,15.4,No,No,,Medium,7,4.8,27.460250000000002,9,84.02128136473722
S1034,Emma,Davis,student34@university.com,Female,21,CS,12.73,75.21,35.92,74.13,45.67,44.1,97.92,20.0,C,25.4,No,Yes,Master's,Medium,8,4.5,26.4065,2,70.80611641010502
S1035,Ahmed,Smith,student35@university.com,Female,23,CS,73.23,79.58,26.640000000000008,72.68,74.42999999999999,64.2,88.66,20.0,C,21.4,No,No,Bachelor's,Low,4,4.2,27.863000000000007,14,75.92640909382934
S1036,Maria,Davis,student36@university.com,Female,18,Mathematics,12.84,41.06,40.31999999999999,89.8,51.75999999999999,73.8,70.56,20.0,D,22.0,Yes,Yes,Master's,High,3,8.1,36.13799999999999,14,85.35982683799564
S1037,Ali,Williams,student37@university.com,Male,21,Mathematics,21.3,54.51,45.22,60.83,50.97,12.3,55.92,44.126,F,10.7,Yes,Yes,High School,Low,7,5.4,49.486,4,76.40980593297425
S1038,Ali,Williams,student38@university.com,Male,18,Business,52.79,65.86,92.76,95.22,66.68,25.7,61.86,71.55600000000001,C,13.1,Yes,No,Master's,High,3,7.6,73.796,6,79.44254606437444
S1039,John,Johnson,student39@university.com,Female,23,Mathematics,98.89,59.92,26.37,89.57,57.27000000000001,19.4,83.65,20.0,C,28.9,No,No,PhD,Low,8,4.7,21.382,11,87.20902664507955
S1040,John,Johnson,student40@university.com,Male,24,Business,89.53,93.05,34.03000000000001,66.66,31.840000000000003,84.1,91.5,54.095,C,26.2,Yes,No,Master's,Medium,4,6.0,64.255,3,78.19211344278303
S1041,Omar,Smith,student41@university.com,Male,23,CS,36.73,87.26,66.00999999999999,59.03,53.5,68.0,98.97,20.0,B,9.1,Yes,Yes,High School,High,8,4.6,33.503499999999995,8,77.47640294906442
S1042,Sara,Davis,student42@university.com,Male,20,CS,54.33,77.55,78.6,63.98,54.349999999999994,45.1,56.61,20.0,C,18.6,No,No,High School,Low,2,4.0,28.564250000000005,3,79.21481654703685
S1043,Liam,Williams,student43@university.com,Male,18,Engineering,30.24,60.28,59.3,66.63,58.32,82.6,57.8,58.6155,D,17.3,Yes,Yes,Master's,Low,8,7.1,60.5755,14,89.26705398949915
S1044,Maria,Smith,student44@university.com,Male,22,Business,20.39,82.04,89.34000000000002,77.85,79.51,71.7,52.12,71.41050000000001,C,16.1,No,Yes,Bachelor's,High,8,6.4,73.01050000000001,13,82.2310091814474
S1045,Maria,Brown,student45@university.com,Male,21,CS,42.83,90.62,55.36999999999999,52.32,59.459999999999994,91.4,63.02,61.429500000000004,D,16.8,Yes,Yes,Master's,Medium,10,6.1,63.94950000000001,13,80.09540813889883
S1046,Liam,Smith,student46@university.com,Male,24,CS,78.41,75.69,35.82,95.72,64.34,7.7,91.05,20.0,C,21.1,Yes,No,,Medium,3,4.4,29.200249999999997,2,77.37820022159208
S1047,Omar,Jones,student47@university.com,Female,23,Business,90.71,87.07,36.82000000000001,54.93,52.260000000000005,50.9,59.91,41.325,D,29.2,No,No,High School,High,2,6.9,52.805,13,82.69408464090561
S1048,Emma,Smith,student48@university.com,Male,18,Engineering,88.41,84.95,55.36000000000001,63.96,39.66,70.7,77.39,53.11449999999999,C,26.9,No,No,Master's,Low,7,7.9,63.714499999999994,19,60.02598478075387
S1049,Emma,Jones,student49@university.com,Male,24,Engineering,9.76,74.3,36.510000000000005,55.46,37.81,20.7,72.32,20.0,D,26.9,No,Yes,Bachelor's,Medium,9,4.3,20.0,6,74.63410745262266
S1050,Omar,Jones,student50@university.com,Female,19,Engineering,20.45,58.73,66.05000000000001,62.83,44.209999999999994,32.7,66.29,51.3815,D,22.6,Yes,Yes,Bachelor's,Low,10,6.1,58.541500000000006,16,75.86063411929948
S1051,Emma,Jones,student51@university.com,Female,20,Engineering,25.65,84.75,35.5,91.88,34.11,41.900000000000006,80.92,52.98349999999999,C,5.4,No,Yes,Bachelor's,Medium,1,5.6,62.34349999999999,2,79.24423856688284
S1052,John,Brown,student52@university.com,Female,19,CS,70.28,52.41,76.86000000000001,80.76,75.76,79.4,75.12,29.041111111111114,C,16.0,Yes,No,PhD,Low,5,8.5,47.461666666666666,8,80.12399317314303
S1053,Maria,Smith,student53@university.com,Female,23,Business,78.44,86.77,52.29,61.37,75.08,49.400000000000006,66.74,59.7295,D,17.8,No,No,PhD,Medium,3,5.3,64.0095,17,62.44061996683361
S1054,Omar,Smith,student54@university.com,Male,19,Business,31.92,88.27,45.50999999999999,93.59,36.459999999999994,49.3,84.44,20.0,C,26.1,Yes,Yes,PhD,Low,9,8.7,40.908999999999985,2,78.00008986085545
S1055,Maria,Brown,student55@university.com,Female,19,CS,54.96,89.33,49.859999999999985,90.04,57.169999999999995,43.1,64.0,20.0,C,28.1,No,Yes,,Low,8,8.1,38.001666666666665,10,74.84928867388585
S1056,Liam,Williams,student56@university.com,Female,20,CS,13.98,68.37,73.08999999999999,87.68,90.96,22.9,82.16,20.0,C,16.3,No,Yes,,Medium,9,4.5,35.661500000000004,16,86.93949829220553
S1057,Ali,Johnson,student57@university.com,Male,20,CS,36.0,51.55,48.88,92.38,48.28,92.3,97.86,69.0745,C,12.5,Yes,Yes,Master's,Medium,9,6.4,71.7945,6,81.8854511021339
S1058,John,Smith,student58@university.com,Male,20,Mathematics,41.47,45.98,87.12,80.98,71.48,31.8,86.45,73.521,C,13.4,No,Yes,PhD,Low,10,7.2,75.041,2,78.22441717278446
S1059,Ahmed,Johnson,student59@university.com,Male,24,Business,3.25,84.6,76.11000000000001,75.07,79.45000000000002,56.7,70.92,70.35400000000001,C,19.5,No,Yes,PhD,High,3,7.0,73.95400000000001,2,73.50181165068793
S1060,John,Davis,student60@university.com,Female,20,Business,63.12,93.18,48.129999999999995,68.7,46.379999999999995,14.9,87.38,64.0635,D,11.9,Yes,No,,Low,7,7.4,67.0235,13,90.88526323744188
S1061,Omar,Davis,student61@university.com,Male,19,Business,42.53,79.05,75.85999999999999,61.19,66.26999999999998,43.4,90.46,61.21999999999999,B,27.8,Yes,Yes,Bachelor's,High,5,6.1,72.53999999999999,15,74.37672480342032
S1062,Ahmed,Brown,student62@university.com,Female,22,Engineering,85.46,48.65,75.49,77.87,92.8,90.4,66.29,28.89133333333334,C,15.5,Yes,No,Bachelor's,Medium,6,8.5,46.63700000000001,2,85.46051480509666
S1063,Ali,Davis,student63@university.com,Male,22,CS,11.94,96.09,39.629999999999995,94.47,26.899999999999995,99.5,85.26,53.84649999999999,B,29.8,Yes,Yes,High School,High,8,5.4,67.6065,7,72.61768179189099
S1064,Omar,Davis,student64@university.com,Male,20,CS,4.55,99.35,31.77,79.7,73.42999999999999,36.2,71.72,20.0,C,7.7,No,Yes,Master's,Low,10,4.5,26.988500000000005,3,82.28251167583898
S1065,Sara,Williams,student65@university.com,Female,24,CS,84.67,66.0,58.949999999999996,95.98,55.89,15.4,90.93,23.46066666666667,C,9.7,No,No,Master's,Medium,8,8.9,44.971000000000004,8,78.74719815690655
S1066,Maria,Williams,student66@university.com,Male,21,Mathematics,62.54,75.69,44.69,67.85,52.01,31.4,64.77,55.525499999999994,D,17.8,Yes,No,PhD,Medium,7,7.3,58.125499999999995,14,76.85471634320798
S1067,Ali,Williams,student67@university.com,Male,18,Business,62.64,86.63,46.33,84.76,55.22,32.7,96.89,60.87899999999999,B,26.7,Yes,No,,High,1,7.3,70.59899999999999,7,80.98371161882854
S1068,Maria,Davis,student68@university.com,Male,23,CS,81.44,84.18,59.959999999999994,82.43,49.019999999999996,64.5,78.74,28.789555555555552,C,13.8,Yes,No,Master's,Medium,1,8.1,46.60433333333333,7,80.31129928164665
S1069,Emma,Brown,student69@university.com,Male,24,Mathematics,66.42,98.07,63.60000000000001,83.52,56.510000000000005,49.6,67.67,58.830500000000015,C,25.9,No,Yes,Bachelor's,High,6,6.1,68.63050000000001,1,75.93767408158978
S1070,Sara,Jones,student70@university.com,Male,21,CS,67.59,46.89,47.940000000000005,82.25,47.370000000000005,76.8,70.97,58.88400000000001,D,15.6,No,Yes,,Low,9,5.9,60.684000000000005,17,70.43851670273402
S1071,Sara,Jones,student71@university.com,Female,23,Engineering,56.59,74.84,67.15,61.08,64.27000000000001,70.1,67.39,20.0,C,26.3,Yes,Yes,PhD,Medium,8,8.7,38.97366666666667,9,72.130428940028
S1072,Ali,Johnson,student72@university.com,Female,21,Business,21.32,81.52,51.970000000000006,57.18,66.80000000000001,25.1,57.31,53.985500000000016,D,11.9,No,Yes,PhD,Low,1,5.9,57.78550000000001,13,81.52782192178526
S1073,Sara,Jones,student73@university.com,Male,21,Mathematics,79.07,93.41,57.519999999999996,98.93,63.83,78.4,53.42,20.0,C,16.8,Yes,No,Master's,High,8,4.4,31.816000000000003,19,67.22011819218353
S1074,Ahmed,Jones,student74@university.com,Female,22,CS,6.84,92.45,77.94,52.26,51.41,84.7,66.09,64.9345,C,12.0,No,Yes,Master's,High,5,5.5,69.1345,19,72.69914709134044
S1075,Sara,Williams,student75@university.com,Female,18,Business,90.43,98.68,66.8,73.39,57.34,59.8,72.93,25.22911111111111,C,10.4,No,No,High School,Low,2,8.4,45.88366666666666,17,68.02850912618175
S1076,Maria,Williams,student76@university.com,Female,21,Mathematics,47.9,70.72,51.68,71.25,52.290000000000006,92.8,68.09,20.0,D,15.5,No,Yes,Master's,High,7,4.5,30.045749999999998,10,81.04027515912027
S1077,Maria,Davis,student77@university.com,Male,20,Business,30.81,89.85,59.17,68.0,82.77,78.3,50.7,63.27199999999999,D,13.4,Yes,Yes,Master's,High,2,7.6,65.27199999999999,10,76.3843435099137
S1078,Omar,Johnson,student78@university.com,Male,23,Business,98.3,65.64,38.75,89.1,40.35000000000001,59.5,78.95,50.85350000000001,C,24.7,Yes,No,Bachelor's,Low,4,5.3,60.65350000000001,4,84.54406205674985
S1079,Maria,Smith,student79@university.com,Male,24,Engineering,8.54,65.34,60.09,87.27,65.24000000000001,90.6,57.24,56.000000000000014,C,23.7,Yes,Yes,Bachelor's,Low,4,7.7,63.80000000000001,8,77.96014260949373
S1080,Omar,Johnson,student80@university.com,Female,22,Business,34.66,55.2,57.4,95.26,61.419999999999995,60.0,60.55,62.56199999999998,D,14.0,No,Yes,,Medium,5,6.6,63.841999999999985,18,69.58114761088072
S1081,Maria,Johnson,student81@university.com,Female,23,Mathematics,56.36,89.09,59.38000000000001,69.77,58.69,52.1,56.04,48.256,C,29.8,No,No,Master's,Medium,6,7.2,60.336,14,78.5813624777336
S1082,Ahmed,Brown,student82@university.com,Male,20,Business,2.41,99.15,47.59,78.21,49.81999999999999,35.6,76.02,50.389499999999984,C,29.3,Yes,Yes,Master's,Low,2,5.2,63.989499999999985,18,63.256220876996224
S1083,Liam,Davis,student83@university.com,Male,20,Mathematics,63.65,55.38,22.82,94.62,45.25,88.3,54.76,20.0,D,27.9,Yes,Yes,PhD,Medium,8,4.8,20.0,14,76.62792842794937
S1084,Omar,Brown,student84@university.com,Female,21,Business,18.11,43.37,44.62,99.69,69.65,12.3,62.82,20.0,D,19.7,Yes,Yes,Bachelor's,High,9,4.3,24.97,15,84.39091207485153
S1085,John,Johnson,student85@university.com,Female,20,CS,56.16,88.93,50.169999999999995,98.46,67.67,47.400000000000006,72.59,29.691999999999997,C,15.3,No,No,PhD,Medium,3,8.1,46.87799999999999,4,76.14836967391174
S1086,Emma,Johnson,student86@university.com,Male,18,Engineering,90.29,77.21,58.46000000000001,85.89,86.10999999999999,53.7,58.39,64.669,D,12.8,No,No,Master's,Medium,7,7.6,67.149,13,76.82893403157236
S1087,Ali,Johnson,student87@university.com,Female,20,CS,46.38,97.58,51.999999999999986,57.16,67.52,55.5,72.31,55.106999999999985,C,5.4,No,Yes,Bachelor's,High,4,5.5,64.58699999999999,8,74.76960492073374
S1088,Maria,Jones,student88@university.com,Female,21,Engineering,21.82,55.13,58.25,51.16,64.87,65.19999999999999,67.14,20.0,D,20.8,No,Yes,Master's,Low,10,8.2,37.02066666666666,18,65.26821679146732
S1089,Sara,Brown,student89@university.com,Female,23,Mathematics,36.4,44.26,76.30999999999999,91.26,84.88999999999999,50.6,93.03,28.742,B,18.8,Yes,Yes,High School,High,4,8.2,49.833,12,79.73378714955399
S1090,Liam,Johnson,student90@university.com,Female,20,Engineering,38.27,69.55,36.71,92.05,76.80000000000001,25.7,89.75,20.0,C,20.7,No,Yes,PhD,Medium,1,4.7,29.89575,14,75.10119026128012
S1091,Maria,Williams,student91@university.com,Female,22,Business,62.71,45.13,88.31000000000002,87.32,68.11000000000001,85.7,99.64,77.421,B,19.4,Yes,No,Bachelor's,High,5,7.6,81.661,2,78.01894828859449
S1092,Sara,Davis,student92@university.com,Female,24,Business,62.95,55.71,46.410000000000004,64.0,39.260000000000005,65.8,76.45,50.506,D,8.4,No,No,Bachelor's,Low,6,5.5,57.586,18,72.36444123156885
S1093,Emma,Davis,student93@university.com,Female,22,CS,74.42,47.56,44.49,81.99,64.77999999999999,85.8,78.77,56.166,D,22.4,Yes,No,Master's,Medium,5,6.3,62.925999999999995,2,83.88986181733321
S1094,Emma,Williams,student94@university.com,Male,22,Engineering,12.94,53.45,77.58999999999999,65.81,64.24,27.6,97.33,72.0015,C,14.0,Yes,Yes,Master's,Low,6,6.2,73.7615,11,79.14626680250846
S1095,Emma,Davis,student95@university.com,Male,23,Mathematics,56.07,46.37,83.69000000000001,72.53,72.37000000000002,63.7,69.98,67.15750000000003,C,17.9,No,No,,Low,3,7.0,69.47750000000002,9,67.9688092449505
S1096,Sara,Jones,student96@university.com,Female,19,Mathematics,58.78,97.23,58.15,69.12,77.8,71.39999999999999,77.78,71.21,C,14.1,No,No,,High,2,5.7,73.49,12,72.71659279337959
S1097,Maria,Jones,student97@university.com,Female,24,Business,67.87,56.71,63.370000000000005,95.68,60.8,38.3,68.95,20.0,C,5.5,No,Yes,PhD,Low,5,4.4,26.722499999999997,17,68.11780224497956
S1098,Emma,Smith,student98@university.com,Female,22,Mathematics,98.69,66.63,73.02,61.71,63.68000000000001,81.19999999999999,77.29,58.12100000000001,C,26.9,No,No,Bachelor's,High,6,7.4,68.12100000000001,15,73.42914620447581
S1099,Ahmed,Smith,student99@university.com,Male,22,Business,54.26,93.92,71.61,78.88,69.55999999999999,0.3,54.04,20.020222222222223,C,8.7,Yes,Yes,Master's,High,10,8.8,40.830333333333336,17,61.44261499977221
S1100,Omar,Smith,student100@university.com,Male,19,Business,65.76,80.64,33.97,68.05,47.38,59.5,89.19,60.01399999999999,D,19.6,No,Yes,PhD,Medium,6,7.3,64.05399999999999,18,72.0163415361192
S1101,Sara,Davis,student101@university.com,Female,23,Business,62.64,77.08,69.55999999999999,83.15,39.510000000000005,61.4,99.26,65.1715,B,27.1,No,Yes,Bachelor's,Low,5,6.7,75.2115,6,81.79767971758935
S1102,Sara,Jones,student102@university.com,Male,24,CS,74.52,82.33,73.99000000000001,78.23,69.05000000000001,53.4,53.29,20.0,C,10.5,No,No,Master's,Low,2,4.8,30.015749999999997,17,67.12139623369684
S1103,Maria,Jones,student103@university.com,Female,22,CS,53.71,89.73,79.44,96.2,69.69,63.0,90.05,84.4155,B,15.3,No,No,,Low,1,7.1,84.7755,18,81.39670782132166
S1104,Sara,Jones,student104@university.com,Female,21,Business,41.85,92.66,84.4,55.08,86.94000000000001,16.7,62.09,70.63700000000001,C,14.4,No,Yes,Bachelor's,Low,10,7.1,71.23700000000001,8,76.51191774695472
S1105,Sara,Williams,student105@university.com,Female,23,Business,73.44,78.56,86.05,61.03,43.53,68.5,59.88,59.925,C,7.2,No,No,Master's,Low,6,7.1,66.285,9,75.22972772947706
S1106,Emma,Jones,student106@university.com,Female,24,Business,69.93,93.4,61.31,88.32,55.019999999999996,33.6,84.67,30.31755555555555,C,15.6,Yes,No,PhD,High,1,8.5,48.89633333333333,6,77.92412359418144
S1107,Maria,Williams,student107@university.com,Female,22,Mathematics,64.53,72.12,39.39,68.44,73.28000000000002,45.2,52.21,53.1665,F,17.0,Yes,Yes,PhD,Medium,1,7.6,55.4865,5,74.36880896456968
S1108,Emma,Smith,student108@university.com,Female,22,Business,84.38,56.64,50.61,58.29,58.00000000000001,33.3,73.16,48.229,D,5.7,Yes,No,High School,Medium,6,7.9,56.749,12,81.07610366475109
S1109,Omar,Smith,student109@university.com,Female,19,Business,99.65,92.8,35.910000000000004,75.17,56.440000000000005,47.400000000000006,50.07,52.736000000000004,F,17.2,No,No,Bachelor's,Low,1,5.6,56.176,11,83.83275677168886
S1110,Liam,Davis,student110@university.com,Male,24,Engineering,6.19,72.49,41.5,82.61,54.260000000000005,62.2,77.72,54.988,C,7.3,Yes,Yes,PhD,High,2,5.4,63.068,1,83.40191869211836
S1111,Omar,Smith,student111@university.com,Female,21,Engineering,13.72,94.37,50.72999999999999,52.24,27.269999999999996,83.80000000000001,73.1,20.0,C,27.3,No,Yes,Bachelor's,High,1,5.0,23.80449999999999,11,79.3104437414426
S1112,Liam,Davis,student112@university.com,Male,23,Engineering,98.15,42.41,46.33999999999999,64.58,39.61,48.3,95.77,54.784499999999994,D,21.3,Yes,No,PhD,Low,7,7.9,60.9045,19,52.49287150990228
S1113,Emma,Johnson,student113@university.com,Female,20,Engineering,3.17,63.85,66.16,90.47,39.790000000000006,32.3,86.01,61.361,C,6.4,Yes,Yes,Bachelor's,Medium,4,7.5,68.841,9,85.69987557250255
S1114,Omar,Johnson,student114@university.com,Female,18,Business,22.77,96.87,69.07999999999998,76.01,58.599999999999994,48.8,56.3,55.23599999999999,C,25.7,No,Yes,Bachelor's,Low,4,5.7,65.356,2,79.49220898163725
S1115,Maria,Brown,student115@university.com,Male,21,Engineering,27.21,54.98,58.11,51.77,86.07,68.89999999999999,67.73,20.0,D,14.0,Yes,Yes,Bachelor's,High,4,4.7,29.141500000000004,12,77.58863894899241
S1116,Ali,Davis,student116@university.com,Male,20,Mathematics,56.41,96.49,84.09000000000002,64.1,53.089999999999996,34.7,96.58,29.333777777777776,B,10.6,No,No,High School,Low,5,8.2,51.440666666666665,4,86.6901358139096
S1117,Emma,Brown,student117@university.com,Female,21,Mathematics,18.99,97.23,36.23,81.96,43.14,41.4,86.27,62.637,C,11.3,No,Yes,,Low,9,5.9,66.917,4,85.03790341381367
S1118,Liam,Brown,student118@university.com,Male,24,Engineering,58.01,92.93,77.53,59.97,72.55000000000001,56.3,79.71,20.0,B,19.9,Yes,Yes,Bachelor's,Low,5,4.9,33.96425,18,70.52178311686133
S1119,Ahmed,Johnson,student119@university.com,Female,20,CS,58.06,73.82,71.39,91.37,74.45,29.4,77.95,20.0,B,7.0,Yes,No,,High,10,4.7,31.508999999999997,15,85.42910659614373
S1120,Liam,Davis,student120@university.com,Female,24,Mathematics,71.31,78.82,41.88,83.83,39.47,20.9,69.9,20.0,D,6.5,Yes,No,,Medium,2,8.6,35.90233333333334,19,76.04127285352072
S1121,Ahmed,Johnson,student121@university.com,Male,20,Mathematics,56.55,92.18,43.28,73.57,54.650000000000006,14.0,79.26,20.0,C,20.7,Yes,No,,Low,8,4.7,28.054750000000006,13,75.69544234703321
S1122,Sara,Brown,student122@university.com,Male,21,Engineering,84.95,86.55,32.230000000000004,95.78,31.86,35.3,88.58,49.980000000000004,C,29.5,Yes,No,PhD,Medium,8,5.8,63.02,19,82.64917660203706
S1123,Omar,Davis,student123@university.com,Male,19,Engineering,24.97,77.81,84.84,69.59,51.48,4.8,56.38,63.126000000000005,D,17.1,No,Yes,Master's,Medium,9,7.2,65.046,17,79.35747591453205
S1124,Ahmed,Brown,student124@university.com,Male,21,Business,76.56,98.94,87.02000000000001,61.75,79.53,58.3,98.49,84.4015,B,15.3,Yes,No,,High,4,6.0,85.8415,6,79.93886207390037
